Neighbourhood,Neighbourhood Latitude,Neighbour Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Id,Reviews,User Id,Likes
Connaught Place,28.6313827,77.2197924,Wenger's,28.633411895746676,77.21829192902194,Bakery,4e4e44902271a1bdc3ccee8d,Bad,1a21ab1c498e411929349f40,173
Connaught Place,28.6313827,77.2197924,Farzi Cafe,28.632580798842707,77.22112484247755,Molecular Gastronomy Restaurant,568feb91498edb833d755933,Bad,1a21ab1c498e411929349f40,25
Connaught Place,28.6313827,77.2197924,Chaayos,28.631628538643216,77.22036426182864,Café,56adb1f8498e9db1d6bb16ed,Bad,1a21ab1c498e411929349f40,13
Connaught Place,28.6313827,77.2197924,Rajdhani Thali,28.62999946326596,77.2204011327264,Indian Restaurant,4cbb2592dd41a35df95eeca0,Bad,1a21ab1c498e411929349f40,25
Connaught Place,28.6313827,77.2197924,Johnny Rockets,28.630457,77.219594,Bistro,571a5505498ef32d7975392f,Bad,1a21ab1c498e411929349f40,8
Connaught Place,28.6313827,77.2197924,United Coffee House,28.63247672337289,77.2211199789975,Indian Restaurant,4b59921bf964a520fe8c28e3,Bad,1a21ab1c498e411929349f40,87
Connaught Place,28.6313827,77.2197924,Nando's,28.630946673402416,77.21972076414269,Portuguese Restaurant,546c88c6498eda3fbfdaac96,Bad,1a21ab1c498e411929349f40,30
Connaught Place,28.6313827,77.2197924,Khan Chacha | खान चाचा | خان چاچا,28.634202294199614,77.22077980678422,Indian Restaurant,4f0f00a7e4b07eb2379b1e1d,Bad,1a21ab1c498e411929349f40,54
Connaught Place,28.6313827,77.2197924,Pind Balluchi,28.630318339248806,77.21760032761195,North Indian Restaurant,4c359b0f7cc0c9b6ca33f59a,Bad,1a21ab1c498e411929349f40,47
Connaught Place,28.6313827,77.2197924,HOTEL SARAVANA BHAVAN,28.632319466435003,77.21644531748599,South Indian Restaurant,519ba450498eb0c559152d94,Bad,1a21ab1c498e411929349f40,96
Connaught Place,28.6313827,77.2197924,Tamasha,28.629663327072745,77.22183483476593,Gastropub,56c6e01ccd10173283f8534e,Bad,1a21ab1c498e411929349f40,18
Connaught Place,28.6313827,77.2197924,Barbeque Nation,28.63025338767433,77.22098501777461,BBQ Joint,51338004e4b099a3a7233bdc,Bad,1a21ab1c498e411929349f40,28
Connaught Place,28.6313827,77.2197924,Berco's,28.63240704948879,77.2173230839724,Chinese Restaurant,4b5c78e9f964a5206f3129e3,Bad,1a21ab1c498e411929349f40,56
Connaught Place,28.6313827,77.2197924,Nizam's Kathi Kabab | निजा़म काठी कबाब,28.634857957123064,77.21946245007211,Indian Restaurant,4bf107ab24f020a1e0a8684f,Bad,1a21ab1c498e411929349f40,88
Connaught Place,28.6313827,77.2197924,Odeon Social,28.634414197963707,77.22093550978948,Café,569b32b5498ef7c4152b45fb,Bad,1a21ab1c498e411929349f40,31
Connaught Place,28.6313827,77.2197924,Immigrants Project - A Cafe in History,28.634055048338602,77.21886681496603,Café,54440189498e4795b1111834,Bad,1a21ab1c498e411929349f40,7
Connaught Place,28.6313827,77.2197924,Sagar Ratna,28.635487253836967,77.22064969494076,Indian Restaurant,4cb876d7f50e224bd2d6e6fb,Bad,1a21ab1c498e411929349f40,38
Connaught Place,28.6313827,77.2197924,Warehouse Cafe,28.63372638697029,77.22102407638606,Café,517018aae4b068bd5f589772,Bad,1a21ab1c498e411929349f40,96
Connaught Place,28.6313827,77.2197924,Wenger's Deli,28.633657990718326,77.21813923616,Deli / Bodega,517cfc0de4b0a366cd2ba325,Bad,1a21ab1c498e411929349f40,22
Connaught Place,28.6313827,77.2197924,Fresc Co,28.628415028106655,77.21954938989002,Italian Restaurant,4cc2acc9d43ba143e2535af8,Bad,1a21ab1c498e411929349f40,25
Connaught Place,28.6313827,77.2197924,Dunkin' Donuts,28.630181868375203,77.21962210391595,Donut Shop,4fae55f3e4b047f11d17675f,Bad,1a21ab1c498e411929349f40,106
Connaught Place,28.6313827,77.2197924,Anand Biryani House,28.62913638616433,77.22012996193826,Indian Restaurant,4dc7fe1ac65b89d3caab5cb5,Bad,1a21ab1c498e411929349f40,7
Connaught Place,28.6313827,77.2197924,Chew,28.632001527203066,77.22270642208512,Asian Restaurant,52e226ef498e7591ee3213db,Bad,1a21ab1c498e411929349f40,24
Connaught Place,28.6313827,77.2197924,Shake square,28.6334059730543,77.218759059906,Café,4f86bca5bb3dda253d82c200,Bad,1a21ab1c498e411929349f40,4
Connaught Place,28.6313827,77.2197924,Costa Coffee,28.63173491632254,77.21840646471269,Café,4da014eb5970b1f7f436521e,Bad,1a21ab1c498e411929349f40,8
Connaught Place,28.6313827,77.2197924,Panchayat Paan Parlour,28.634073264989183,77.22264498769991,Indian Restaurant,4e74eae8b61c22c637f1b409,Bad,1a21ab1c498e411929349f40,8
Connaught Place,28.6313827,77.2197924,Garam Dharam,28.631842130012696,77.2227521244348,North Indian Restaurant,55efea56498e81742081ade3,Bad,1a21ab1c498e411929349f40,6
Connaught Place,28.6313827,77.2197924,Smoke House Deli,28.633764,77.221405,Deli / Bodega,580a6d0738fa3e233b7c0045,Bad,1a21ab1c498e411929349f40,2
Connaught Place,28.6313827,77.2197924,Kwality Restaurant,28.629743645035568,77.21743130219578,Indian Restaurant,4b79606ef964a52089f62ee3,Bad,1a21ab1c498e411929349f40,11
Connaught Place,28.6313827,77.2197924,Burger King,28.632828449172408,77.22132551263886,Fast Food Restaurant,548a6de3498ecb54da9adac2,Bad,1a21ab1c498e411929349f40,10
Connaught Place,28.6313827,77.2197924,"Zen Chinese, Connaught Place",28.633657822271832,77.21949493258369,Chinese Restaurant,4d4ff7bec305b60cd151811e,Bad,1a21ab1c498e411929349f40,7
Connaught Place,28.6313827,77.2197924,McDonald’s,28.630025692987704,77.21992785933003,Fast Food Restaurant,51e9fa26498e37a9f6201d78,Bad,1a21ab1c498e411929349f40,7
Connaught Place,28.6313827,77.2197924,Japanese Fuji Restaurant,28.63309875268639,77.2221218013156,Japanese Restaurant,547b43fa498eaea3bee44d97,Bad,1a21ab1c498e411929349f40,10
Connaught Place,28.6313827,77.2197924,Haldiram's,28.63422999171808,77.22233494432798,Indian Restaurant,4badb775f964a520ea643be3,Bad,1a21ab1c498e411929349f40,59
Connaught Place,28.6313827,77.2197924,Veda Restaurant,28.635210214696645,77.21807926655758,Indian Restaurant,4b7421c5f964a5204ac92de3,Bad,1a21ab1c498e411929349f40,35
Connaught Place,28.6313827,77.2197924,KFC,28.629964794571176,77.22005862719685,Fast Food Restaurant,4c4456ca56a7ef3b153ace21,Bad,1a21ab1c498e411929349f40,44
