Neighbourhood,Neighbourhood Latitude,Neighbour Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Id,Reviews,User Id,Likes
New York,40.7127281,-74.0060152,Augustine,40.71130993467080,-74.00666043815030,French Restaurant,58191674ded8f8626ed70af0,"Augustine serves some of the city’s most exciting steaks, from a funky porterhouse rubbed in sweet-salty Montreal seasoning, to a strip crusted in a bevy of peppercorns.",59b834cd31fd1414ec894722,239
New York,40.7127281,-74.0060152,Takahachi Bakery,40.713652845301900,-74.0088038953017,Bakery,4c154c9a77cea593c401d260,"Love this Japanese bakery/deli! Healthy, fresh, unique selection of sandwiches, salads & of course, pastries. Sitting area in back can seat 25+, u can view the cook staff at work thru huge window.",5672d310498ea39aa734eda1,664
New York,40.7127281,-74.0060152,The Hummus & Pita Co,40.714453031801200,-74.00685274843350,Falafel Restaurant,515c4ca3e4b00279706b095d,"Good place for a filling meal that's a great value. Recommend the chicken schwarma, Spanish eggplant and roasted vegetables in a bowl. Don't bother with the carbs. Try chimicurro sauce!",55a00239498edaf25acee41b,88
New York,40.7127281,-74.0060152,Pisillo Italian Panini,40.710530084460800,-74.00752571804910,Sandwich Place,528bf16711d2b7722da6b51c,"Split one of their stellar Italian sandwiches and enjoy it in City Hall park for the power summer lunch with a friend. Try the namesake Pisillo with porchetta, prosciutto & buffala mozzarella.",575e32c7498e82a8d80ba155,290
New York,40.7127281,-74.0060152,Aahar Indian Cuisine,40.71330656515890,-74.00799405698500,Indian Restaurant,575dea4c498e2739e43a27e2,"The $14 special is unbelievable! And the food is spectacular! I tried the soup of the day with fish caravari and naan. I've never tried Indian food and let me tell you, it won't be my last.",57b7ae28498e30566cd5242d,53
New York,40.7127281,-74.0060152,Los Tacos No. 1,40.714267,-74.008756,Taco Place,5d5f24ec09484500079aee00,The new taco joint in town (or in TriBeCa area anyway). Office lunches are gonna make this place millions.  It’s really good.  And great old school Americana counter style.  See you tomorrow!,5d69aed75ee37400068d9129,77
New York,40.7127281,-74.0060152,Racines,40.714754151461200,-74.0075806002039,French Restaurant,534c9d7b498e1bdd443a40e1,"""From the savvy sustainable wines to the thoughtful service and the impeccable tweaked versions of French standards, Racines NY pays homage to tradition with a keen eye toward evolution.""",5548d5d8498ead8aff9bc67e,120
New York,40.7127281,-74.0060152,Joe’s Pizza,40.71031775378810,-74.00769390169110,Pizza Place,5c6f03f30802d4002c16884c,Joe’s cheese slice is my NYC go-to. Their Sicilian square is no joke too,5cbf3a05e17910002cba2f02,75
New York,40.7127281,-74.0060152,Temple Court,40.7114909233789,-74.00683195829820,American Restaurant,57dc7ea2498e2a830309c81c,Delicious seasonal dishes + inventive updates on classics like Oysters Rockefeller and Baked Alaska. Cocktails are well-balanced and service is fantastic. (Photo: chestnut agnolotti w black truffle),5814c63438fa102a3620e642,120
New York,40.7127281,-74.0060152,Chipotle Mexican Grill,40.714606606499300,-74.00633473282070,Burrito Place,4ee8e058f790a9d738d62d70,"Disappointed with their guacamole. $2.30 for something that doesn't seem fresh. Ugh. Gross. Also, they need to fix that front door, why is it so heavy and why is the button to open it doesn't work?!",5841c21c5da8f465d2c4c6b2,127
New York,40.7127281,-74.0060152,Sophie's Cuban Cuisine,40.71480295894470,-74.00765642063460,Cuban Restaurant,4b311e89f964a520890025e3,"I love Cuban Cuisine and Sophies has the best food. Today I got my usual Pernil with rice, black beans, and sweet plantains. Also, had to get the Salsa Verde which green sauce, spicy but delicious.",59c00a271ffed76478c4b8ad,112
New York,40.7127281,-74.0060152,Da Claudio,40.71082646010860,-74.0076387699966,Italian Restaurant,5447e0b2498e49ee7c7b1dc0,AMAZING! One of the best restaurants I've been to in Fidi. I had the special which was a fettuccini with mushrooms and truffle sauce and was TDF. Highly recommend this place.,57096323498e8723f668d4fe,100
New York,40.7127281,-74.0060152,Hank's Juicy Beef,40.714349,-74.007215,Sandwich Place,576c8b3c498eecbf1adee8e9,"The staff, the decor and food. It’s a little taste of Chicago in NYC. I almost wish it was a full blown Chicago bar with the menu as the grub. Great place and Hank is a stand up guy.",5bbe8693f1fdaf002bf3fe3a,54
New York,40.7127281,-74.0060152,Gran Morsi,40.714246192274400,-74.00792514672230,Italian Restaurant,5421eb06498e1b6b9c1bfd9c,"Delicious appetizers and pizzas that are good for sharing. Good ambiance for some nice conversations. Recommend: rice balls, carne pizza, and meatballs!",585dfdebba8837582b6a026e,72
New York,40.7127281,-74.0060152,Shake Shack,40.71070286896420,-74.00902390480040,Burger Joint,5787b68e498efcabbebba4f8,"One of the loveliest of all. Featuring a picturesque view of the iconic Fulton Center and busy streets while you eat. Nice decor, and friendly staff that will ask if they can clear your trays.",578c5114498e0368a716662c,506
New York,40.7127281,-74.0060152,Pisillo Italian Cafe,40.71049280792630,-74.00754611675150,Café,588a4316326c5a4b60559f17,Negocio familiar pequeñito y acogedor con gran variedad de deliciosa repostería italiana.,59b1f66c65211f520fafc287,12
New York,40.7127281,-74.0060152,The Wooly Public,40.71209863552470,-74.00834493032000,Restaurant,58ae412372714f32e282e2d7,Live jazz music on Saturday nights with dancing and performances. Cocktail program is on par with the best speakeasies in New York with an emphasis on mezcal.,592835c716fa042347d92948,68
New York,40.7127281,-74.0060152,Potbelly Sandwich Shop,40.714454131743300,-74.00582021953930,Sandwich Place,4f4d2593e4b00b42c3f1060f,If you like sandwiches made with fresh ingredients this is the place to go... And they take care of you in no more than 10 minutes,5428e3fe498e443c95f57b79,50
New York,40.7127281,-74.0060152,Nish Nūsh,40.71553710116420,-74.00772452925570,Falafel Restaurant,50ba9119e4b071a4bae6dc10,"The falafel trio platter is great for dinner. Get to try the classic green falafel, the roasted pepper falafel and the spinach & mushroom falafel. Served with hummus, pita and great sides.",57202043cd1010fdea013c7f,403
New York,40.7127281,-74.0060152,Chick-fil-A,40.7104194,-74.0085499,Fast Food Restaurant,5ab51b6aa4b51b3dc096ed68,One of my favorite lunch spots in the heart of downtown Manhattan!,5b33f72be17910002c1a68f2,66
New York,40.7127281,-74.0060152,Pita Express,40.71102828193010,-74.00796458369290,Middle Eastern Restaurant,4b55feaff964a520f8fa27e3,"Falafel is amazing and all home made in house! Chicken shawarma sandwich, hummus and Turkish salad all good too. And try the fresh mint tea if they have it!",533b2b40498e513bed1746a5,24
New York,40.7127281,-74.0060152,Melt Shop,40.709807,-74.006723,Sandwich Place,53a7307a498e56d9917d8f32,Great fried chicken grilled cheese. Can't wait til' this location starts serving breakfast. The Melt Shop wrap is one of the best egg preps in NYC!,53acbfde498e18ae6234f037,175
New York,40.7127281,-74.0060152,Konditori,40.70947390929380,-74.00663033243590,Café,5953e5314382ab0b3b808dc6,"Son, I live in Brooklyn. And I work in the Bronx. But I *have* been known to give up my good seat to duck out and get their iced mocha..... it's that good.",5a14337e270ee74af9659810,52
New York,40.7127281,-74.0060152,Nobu Downtown,40.71053208431400,-74.00959253311160,Japanese Restaurant,4b60c708f964a520d0f829e3,"Restaurant week ($38): Rock shrimp tempura, assorted sushi, and tiramisu. All great, but you may want to dip under the fish on your sushi and remove some of the wasabi. It can be awfully harsh.",569ef609498e511e3aeaac05,270
New York,40.7127281,-74.0060152,Little Park,40.715486585249700,-74.00913313510840,American Restaurant,545c0436498e798e22ce4b2a,Expect a relaxed vibe in the sunny space as you sit with your coconut and spelt pancakes topped with blueberry compote and vanilla butter.,57ffdee4498e7b039d607fd1,467
New York,40.7127281,-74.0060152,Maestro Pasta,40.709337,-74.007769,Italian Restaurant,5d4861420372ce0007e23375,"Everything is good...and I hate that. This place is right below where I live, and now I find myself eating pasta weekly. Amazing fresh pasta, new specials every week, and it’s all made in-house.🇮🇹❤️",5db3a07d416e2a00065bbf6c,5
New York,40.7127281,-74.0060152,Sandwich House,40.711002647179500,-74.0079221479222,Sandwich Place,4a46c57ff964a5206fa91fe3,"It's a bit of a hidden gem in this area. Homemade-y tasting sandwiches, soups, and salads. I like the chicken dill sandwich lunch special.",541f7aec11d2e8f496b98b97,90
New York,40.7127281,-74.0060152,Nish Nush,40.709418,-74.008056,Falafel Restaurant,564cb952498e133963c04186,"Excellent food, fresh ingredients. Some of the best falafel I've ever had. The platters are great to share for two people. Don't skip on the fries, they are surprisingly good",57c34523498e0e3002d3b6cc,164
New York,40.7127281,-74.0060152,Atera,40.71675176130720,-74.00571150855460,Molecular Gastronomy Restaurant,4f627061e4b05c1d57815977,Best tasting menu in the city. Love the open kitchen and counter seating. Each dish stood out in its own way. Wine pairings were spot on--opt for them!,575f69d6498ef4e5af53278e,183
New York,40.7127281,-74.0060152,Takahachi,40.71652647412370,-74.00810108466210,Sushi Restaurant,4a8f2f39f964a520471420e3,"Locals rave about this sushi sanctuary where you'll find every kind of roll under the sun–and if they don't have exactly what you want, you can design your own sushi à la carte.",53de6ebd498e0d374ae1600d,311
New York,40.7127281,-74.0060152,Sophie's Cuban Cuisine,40.709164761728900,-74.0054040649875,Cuban Restaurant,54cad0b2498ea68d80401cbd,I stopped on my way to work just to have an empanada. They were so good I had to get a few more and a stuffed potato.,54e8cc93498ed613ed2029cb,84
New York,40.7127281,-74.0060152,GRK Fresh Greek - Financial District,40.7097995488229,-74.0070113011889,Greek Restaurant,5047c785e4b0bcc0f416cdb3,"A fantastic, quick meal but don't skip on the froyo! It's extremely satisfying, and is much cheaper (incl. toppings) and tastes more natural/better than it's chain competitors.",53ec123a498eaffff060bd80,447
New York,40.7127281,-74.0060152,District Bagel,40.710074,-74.007331,Bagel Shop,5db2f191b8b17e00089d7ad9,No better place to grab bagels (garlic and herb cream cheese!) and jam to your favorite middle school hits.,5e52bc2283d3740006c51a6b,2
New York,40.7127281,-74.0060152,1803,40.71541804978280,-74.00742495064010,Cajun / Creole Restaurant,5977d66b64c8e14048a7af6d,"They used to have incredible, crispy hash browns that I’d have dreams about, but recently changed them to seasoned potato wedges (shown in photo)",5b3e8b01d4cc98002c15e548,60
New York,40.7127281,-74.0060152,Kesté,40.709132,-74.004676,Pizza Place,58f54555e2ead178a41de832,"Lunch options include mushroom calzones, a sausage and mushroom margherita pizza, and white pizzas topped with prosciutto, eggplant, and grape tomatoes.",59567e2d1b0ea54f04ce5fd4,68
New York,40.7127281,-74.0060152,Go! Go! Curry,40.709854,-74.00901,Japanese Curry Restaurant,512a6086e4b023dd9c27e82d,Japanese chain specializing in curry; get the pork cutlet (katsu) and go crazy with all the topping options.,5140dc7ee4b006b2c38027d3,185
New York,40.7127281,-74.0060152,Lenwich,40.71330090255310,-74.00911558768330,Deli / Bodega,5123cc09e4b05424264ac373,I go here for lunch quite often I work in bmcc fiterman hall and I love the salmon it's so delicious and tasty,56a54688498eb2a79f0e81f7,36
New York,40.7127281,-74.0060152,Hole In The Wall,40.70827996310330,-74.00561154427120,Breakfast Spot,58fdf5ec6cf01a4f54c7792b,"Charming Aussie cafe. Try the hanging bacon jerky (crispy yet chewy & coated with maple) and any of their brunch options, like the pulled pork eggs benny",590517c495d986079e09f08b,326
New York,40.7127281,-74.0060152,Lekka Burger,40.715246,-74.010559,Burger Joint,5dc6f6a5ea8dfb00080f6faa,Food is delicious and the staff are the nicest! That matcha shake tho. Great food and no animals had to be brutally murdered! 💚💚,5dfc41cd0fea5d00065858a2,21
New York,40.7127281,-74.0060152,Schnipper's Quality Kitchen,40.7137184634891,-74.00904056786910,Burger Joint,57c86b6a498e43a03acd849f,"I've gotten only a few things on the menu so far, but it's been good. I highly recommend the 4 cheese melt it's delicious. The place is very spacious, Place is pricey but good. Staff is nice too",583525032896a2502e972488,50
New York,40.7127281,-74.0060152,Zucker's Bagels & Smoked Fish,40.71558,-74.00985,Bagel Shop,4a4baaf8f964a52091ac1fe3,Top 10 bagels and lox in the city. Best option within a mile of TriBeCa hands down.,559190a9498ebdb8441d53a3,422
New York,40.7127281,-74.0060152,sweetgreen,40.715493,-74.008951,Salad Place,5ceeb56dc03635002ce7ab2a,Guacamoles salad is amazing. Good service,5de5b931c8ca7d000630ccba,4
New York,40.7127281,-74.0060152,Aroma Espresso Bar,40.7133292,-74.0101583,Café,4edd43af7bebc29455367992,"Great coffee drinks (love the Espresso) and decent baked goods made on-site. I found it a little pricey in terms of value, but convenient location for those who work in the area.",588ddc619398ab38f2b7d6c3,468
New York,40.7127281,-74.0060152,Tiny's and the Bar Upstairs,40.71679304855810,-74.00821998878460,American Restaurant,4dadcb124df0522cc5622202,"For brunch, the egg bowl and the egg sandwich are two solid choices. Ask for your egg sandwich on a biscuit to change it up. Recommend the kale and chickpea fries (steak like fries with spicy aioli).",5a01cdbf0d2be70cdc89550f,537
New York,40.7127281,-74.0060152,Khe-Yo,40.716752816876600,-74.00858376295220,Asian Restaurant,51df85c9498edb5ea3ad2e2a,"The only Laotian food in Manhattan, and it's great. Spare ribs, crispy coconut rice with lime sausage, bone marrow with steak tartare, and pork curry noodles. Equally good for a date or a group. ",53d58ec1498e1f4141eccfa1,404
New York,40.7127281,-74.0060152,Sticky's Finger Joint,40.70930873620130,-74.00901602883610,Fried Chicken Joint,588251d3ac13691c90477561,"Amazing chicken, amazing fries, amazing sauces. What more could you want?",596c004973fe25511d74ecfd,58
New York,40.7127281,-74.0060152,Benares,40.714117,-74.009248,Indian Restaurant,50b02338e4b047828b2277c1,"Amazing!  Start with delicious samosas, which are  triangular turnovers filled with potato and green peas. An entree of tender lamb chops, and chocolate lava with rose petal ice cream for dessert!",55c0eda6498eda451ce0b496,97
New York,40.7127281,-74.0060152,La Parisienne,40.70942332606940,-74.00999194450300,French Restaurant,5a47a5e4e679bc7b226989ca,The Croque Monsieur at this place is the best thing ever!!,5ba643f204d1ae002cfbda9b,51
New York,40.7127281,-74.0060152,Gunbae,40.714529061647700,-74.01024165602450,Korean Restaurant,555b7016498ef57fbcc739d2,"This place is the bomb. Their kimchi jjigae is authentic, even tastier than ones in Korea. Their side dishes, green pepper is also very delicious. Price is reasonable. Definitely recommend it!",56a0e390498e5051ae3c1fc2,111
New York,40.7127281,-74.0060152,Sushi of Gari Tribeca,40.71668439227820,-74.00834342869240,Sushi Restaurant,50597c5ce4b05ea41644ac74,"This uptown cult favorite for sushi has come to TriBeCa. The wait is well worth it once you try specials like the Futomaki, a cut-up roll with grilled eel, egg omelet, crab stick, and vegetables.",516722e6e4b0ef8113e6f430,135
New York,40.7127281,-74.0060152,Casa Toscana,40.70999432771500,-74.0091178608174,Café,59725f53b2958f7669b3ffb4,Kiss in Capri Sandwich for $10 is very good. Bread is delicious.,5d137b9c6dfc0f0023aff45b,18
New York,40.7127281,-74.0060152,Woops!,40.7163977921964,-74.00503245546730,Bakery,55c9f1d4498ec54b4dc2b3b9,"Mm what's the word I'm looking for .. unrefined? Its the sloppy American version of a French delicacy. Taste is 4/10, presentation is 7/10, and variety is lacking.",5952e2c7791871277cf20bd1,46
New York,40.7127281,-74.0060152,Mudville Restaurant & Tap House,40.71533575723850,-74.00888099625210,Wings Joint,45e5c256f964a52046431fe3,"Typical American bar, whet they serve nice foods and beers. Staff are very friendly and helpful with foods selection. Try their wings or burger and you won't regret.",51fec326498e91fb6a7e1486,269
New York,40.7127281,-74.0060152,Salad Box NY,40.71329905385370,-74.00952758772940,Salad Place,5a3991dedb1d815ecf88747b,Chicken Caesar salad is delicious ! Cute package design as well,5ae4b6b310b30300258c6776,11
New York,40.7127281,-74.0060152,Sole di Capri,40.715342564822100,-74.00768998132270,Italian Restaurant,4ae86aa0f964a5202faf21e3,"Excellent authentic Italian food. Small ,cozy great ambiance. The owner and the staff are very friendly. Highly recommend , the prices are great. We had an amazing time 😆",5876f8ce04ab1a157857964f,54
New York,40.7127281,-74.0060152,Pret A Manger,40.71018247977680,-74.00998101261100,Sandwich Place,4c7be9be2d3ba143136795d0,Overpriced but worth it since everything is relatively fresh. I eat here all the time and never had anything bad. Very friendly staff.,4f64391ae4b045fbd38832dd,236
New York,40.7127281,-74.0060152,Open Kitchen,40.70915125136390,-74.0068569155938,Deli / Bodega,554a4688498eca79568879dd,"Good eatery. You can dine in or out. Great part is that they have Pure Green for juicing, a coffee bar, salads bar, and some Asian cuisine. It’s very clean and the workers there are very nice.",5cb5c5f24f0e58002c474cfe,169
